,root:4M,root:B
ERR4281055,0.59179395,0.40820608
ERR4281020,0.10935253,0.8906475
ERR4281023,0.036577526,0.9634225
ERR4281026,0.106855534,0.8931444
ERR4281071,0.59179395,0.40820608
ERR4281074,0.10506131,0.8949387
ERR4281076,0.10506131,0.8949387
ERR4281037,0.10506131,0.8949387
ERR4281039,0.59179395,0.40820608
ERR4281042,0.03694964,0.96305037
ERR4281087,0.106855534,0.8931444
ERR4281048,0.59179395,0.40820608
ERR4281094,0.10506131,0.8949387
ERR4281097,0.036577526,0.9634225
ERR4281100,0.055254098,0.94474596
ERR4281101,0.10506131,0.8949387
ERR4281115,0.036577526,0.9634225
ERR4281120,0.106855534,0.8931444
ERR4281128,0.106855534,0.8931444
ERR4281137,0.10506131,0.8949387
ERR4281142,0.036577526,0.9634225
ERR4281149,0.10506131,0.8949387
ERR4281156,0.036577534,0.9634225
ERR4281160,0.59179395,0.40820608
ERR4281167,0.10506131,0.8949387
ERR4281170,0.10506131,0.8949387
ERR4281174,0.036577526,0.9634225
ERR4281178,0.036643777,0.9633562
ERR4281183,0.036577526,0.9634225
ERR4281186,0.10506131,0.8949387
ERR4281193,0.036577526,0.9634225
ERR4281196,0.036577526,0.9634225
ERR4281198,0.036801036,0.963199
ERR4281203,0.036577526,0.9634225
ERR4281209,0.036577526,0.9634225
ERR4281214,0.036577526,0.9634225
ERR4281221,0.10506131,0.8949387
ERR4281227,0.036577526,0.9634225
ERR4281231,0.057476096,0.9425239
ERR4281237,0.039980758,0.9600193
ERR4281244,0.036577526,0.9634225
ERR4281252,0.036577526,0.9634225
ERR4281257,0.036582064,0.96341795
ERR4281263,0.03713517,0.96286476
ERR4281268,0.10506131,0.8949387
ERR4281272,0.11272437,0.88727564
ERR4281279,0.10506131,0.8949387
ERR4281283,0.10506131,0.8949387
ERR4281290,0.10506131,0.8949387
ERR4281295,0.036577526,0.9634225
ERR4281299,0.106855534,0.8931444
ERR4281305,0.04029838,0.95970166
ERR4281311,0.10512104,0.894879
ERR4281319,0.07239481,0.92760515
ERR4281325,0.036602058,0.9633979
ERR4281334,0.106855534,0.8931444
ERR4281335,0.106855534,0.8931444
ERR4281340,0.09320819,0.90679187
ERR4281349,0.036577526,0.9634225
ERR4281354,0.036577526,0.9634225
ERR4281361,0.03657796,0.963422
ERR4281367,0.048124187,0.95187575
ERR4281374,0.10506131,0.8949387
ERR4281387,0.10506131,0.8949387
ERR4281394,0.106855534,0.8931444
ERR4281402,0.10506131,0.8949387
ERR4281409,0.10682685,0.89317316
ERR4281416,0.036577526,0.9634225
ERR4281423,0.036577526,0.9634225
ERR4281429,0.10696666,0.8930334
ERR4281435,0.10506131,0.8949387
ERR4281439,0.10506132,0.89493865
ERR4281444,0.10683711,0.89316285
ERR4281450,0.036577526,0.9634225
ERR4281456,0.106855534,0.8931444
ERR4281462,0.036577526,0.9634225
ERR4281468,0.036577526,0.9634225
ERR4281474,0.036577526,0.9634225
ERR4281487,0.106854,0.89314604
ERR4281495,0.036577526,0.9634225
ERR4281500,0.036577526,0.9634225
ERR4281502,0.10506131,0.8949387
ERR4281507,0.036612794,0.9633872
ERR4281513,0.036577526,0.9634225
ERR4281519,0.036577526,0.9634225
ERR4281531,0.106855534,0.8931444
ERR4281539,0.10462421,0.8953757
ERR4281543,0.036577526,0.9634225
ERR4281549,0.036577526,0.9634225
ERR4281555,0.106855534,0.8931444
ERR4281561,0.043276437,0.9567236
ERR4281570,0.10506131,0.8949387
ERR4281576,0.10506131,0.8949387
ERR4281580,0.036577526,0.9634225
ERR4281585,0.036577526,0.9634225
ERR4281586,0.036577526,0.9634225
ERR4281593,0.10506131,0.8949387
ERR4281600,0.036577526,0.9634225
ERR4281605,0.10506454,0.8949355
ERR4281641,0.59179395,0.40820608
ERR4281656,0.10506131,0.8949387
ERR4281665,0.036577526,0.9634225
ERR4281671,0.036577526,0.9634225
ERR4281675,0.036577526,0.9634225
ERR4281682,0.10506131,0.8949387
ERR4281692,0.105061345,0.89493865
ERR4281698,0.036577526,0.9634225
ERR4281917,0.10506132,0.89493865
ERR4282067,0.10509692,0.894903
ERR4282523,0.106855534,0.8931444
ERR4282528,0.10506131,0.8949387
ERR4282534,0.16413674,0.83586323
ERR4282541,0.036790255,0.96320975
ERR4282550,0.106855534,0.8931444
ERR4282555,0.036577526,0.9634225
ERR4282562,0.10506131,0.8949387
ERR4282611,0.036577526,0.9634225
ERR4282629,0.036577526,0.9634225
ERR4282637,0.10506131,0.8949387
ERR4282656,0.106855534,0.8931444
ERR4282681,0.10451329,0.8954867
ERR4282697,0.105096705,0.8949033
ERR4282702,0.052808292,0.94719166
ERR4282740,0.036577526,0.9634225
ERR4282764,0.10506131,0.8949387
ERR4282768,0.106855534,0.8931444
ERR4282796,0.10506131,0.8949387
ERR4282815,0.5840674,0.4159326
ERR4282845,0.036577526,0.9634225
ERR4282850,0.106855534,0.8931444
ERR4282866,0.049300287,0.9506997
ERR4282882,0.106855534,0.8931444
ERR4282955,0.036577523,0.9634225
